Codigo_do_alimento ;Descricao_do_alimento ;Tipo;Codigo_da_preparacao;Descricao_da_preparacao;Calcio_(mg);Magnesio _(mg);Manganes _(mg);Fosforo_(mg);Ferro _(mg);Sodio_(mg);Sodio _de _adicao _(mg);Potassio_(mg);Cobre _(mg);Zinco_(mg);Selenio_(mcg)
6401201;Cenoura;Hortalicas tuberosas;7;Refogado(a);29.1;9.7;0.15;29.1;0.33;56.26;242;227.95;0.02;0.19;2.05
6401201;Cenoura;Hortalicas tuberosas;8;Molho vermelho;26.6;11.2;0.15;29.2;0.48;151.2;242;254.2;0.04;0.2;0.6
6401201;Cenoura;Hortalicas tuberosas;10;Ao alho e oleo;29.1;9.7;0.15;29.1;0.33;56.26;242;227.95;0.02;0.19;2.05
6401201;Cenoura;Hortalicas tuberosas;11;Com manteiga/oleo;30.73;10.06;0.16;30.73;0.34;75.46;242;235.73;0.02;0.2;0.73
6401201;Cenoura;Hortalicas tuberosas;12;Ao vinagrete;30;10;0.16;30;0.34;58;242;235;0.02;0.2;0.7
6401201;Cenoura;Hortalicas tuberosas;13;Ensopado;29.1;9.7;0.15;29.1;0.33;56.26;242;227.95;0.02;0.19;2.05
6401201;Cenoura;Hortalicas tuberosas;15;Sopa;8.56;6.35;0.07;15.76;0.29;310.43;0;88.32;0.04;0.12;1.34
6401201;Cenoura;Hortalicas tuberosas;99;Nao se aplica;33;12;0.14;35;0.3;69;0;320;0.05;0.24;0.1
6401301;Nabo;Hortalicas tuberosas;2;Cozido(a);33;9;0.07;26;0.18;16;242;177;0;0.12;0.2
6401301;Nabo;Hortalicas tuberosas;7;Refogado(a);33;9;0.07;26;0.18;16;242;177;0;0.12;1.53
6401601;Acafrao;Hortalicas tuberosas;1;Cru(a);111;264;28.41;252;11.1;148;0;1724;0.33;1.09;5.6
6401801;Batata inglesa organica;Hortalicas tuberosas;5;Frito(a);13.43;33.58;0.24;67.17;0.53;8.4;380;550.76;0.28;0.46;6.68
6500101;Creme de arroz;Farinhas, feculas e massas;99;Nao se aplica;110.54;13.75;0.14;99.07;0.08;387.3;0;147.16;0.03;0.48;5.4
6500104;Arrozina;Farinhas, feculas e massas;99;Nao se aplica;110.54;13.75;0.14;99.07;0.08;387.3;0;147.16;0.03;0.48;5.4
6500105;Mucilon;Farinhas, feculas e massas;99;Nao se aplica;124.57;13.22;0.03;95.38;0.22;319.33;0;156.85;0.02;0.45;4.03
6500108;Mingau de arroz;Farinhas, feculas e massas;99;Nao se aplica;110.54;13.75;0.14;99.07;0.08;387.3;0;147.16;0.03;0.48;5.4
6500202;Croquinhos de arroz;Farinhas, feculas e massas;99;Nao se aplica;7;144;1.11;358;3.19;8;0;329;0.26;3.08;0
6500301;Farinha de aveia;Farinhas, feculas e massas;99;Nao se aplica;52;148;3.63;474;4.2;4;0;350;0.34;3.07;34
6500401;Aveia em flocos;Farinhas, feculas e massas;99;Nao se aplica;52;148;3.63;474;4.2;4;0;350;0.34;3.07;34
6500601;Fuba de milho;Farinhas, feculas e massas;99;Nao se aplica;2.82;5.24;0.02;11.92;0.64;2.65;236;23.2;0.02;0.07;2.78
6500603;Farinha de milho;Farinhas, feculas e massas;99;Nao se aplica;1;31;0;84;2.3;45;0;58;0.27;0.6;0
6500608;Puba de milho;Farinhas, feculas e massas;99;Nao se aplica;83;10;0.11;128;0.7;134;0;118;0.04;0.4;0
6500609;Puba de fuba;Farinhas, feculas e massas;99;Nao se aplica;83;10;0.11;128;0.7;134;0;118;0.04;0.4;0
6500613;Milho moido;Farinhas, feculas e massas;2;Cozido(a);3.15;26.01;0.16;75;0.45;244.96;245;212.05;0.05;0.61;2.9
6500614;Mingau de milho;Farinhas, feculas e massas;99;Nao se aplica;124.57;13.22;0.03;95.38;0.22;319.33;0;156.85;0.02;0.45;4.03
6500702;Amido de milho;Farinhas, feculas e massas;99;Nao se aplica;124.57;13.22;0.03;95.38;0.22;319.33;0;156.85;0.02;0.45;4.03
6500705;Amido de arroz;Farinhas, feculas e massas;99;Nao se aplica;110.54;13.75;0.14;99.07;0.08;387.3;0;147.16;0.03;0.48;5.4
6500801;Cremogema;Farinhas, feculas e massas;99;Nao se aplica;124.57;13.22;0.03;95.38;0.22;319.33;0;156.85;0.02;0.45;4.03
6500802;Vitamilho;Farinhas, feculas e massas;99;Nao se aplica;10.74;15.82;0.27;58.01;0.37;261.48;256;57.49;0.09;0.28;3.75
6500804;Creme de milho;Farinhas, feculas e massas;99;Nao se aplica;124.57;13.22;0.03;95.38;0.22;319.33;0;156.85;0.02;0.45;4.03
6500902;Sucrilhos de milho;Farinhas, feculas e massas;99;Nao se aplica;56;8;0;43;3.9;405;0;52;0.04;8.5;0
6500903;Cereal matinal de milho em flocos;Farinhas, feculas e massas;99;Nao se aplica;56;8;0;43;3.9;405;0;52;0.04;8.5;0
6501301;Germe de trigo;Farinhas, feculas e massas;99;Nao se aplica;39;239;13.3;842;6.26;12;0;892;0.8;12.29;79.2
6501303;Fibra de trigo;Farinhas, feculas e massas;99;Nao se aplica;73;611;11.5;1013;10.57;2;0;1182;1;7.27;77.6
6501304;Fibra de cereal trigo;Farinhas, feculas e massas;99;Nao se aplica;73;611;11.5;1013;10.57;2;0;1182;1;7.27;77.6
6501401;Farinha de mandioca;Farinhas, feculas e massas;99;Nao se aplica;65;37;0;42;1.1;1;0;340;0.08;0.4;0
6501410;Farinha de copioba;Farinhas, feculas e massas;99;Nao se aplica;65;37;0;42;1.1;1;0;340;0.08;0.4;0
6501415;Farinha d'agua;Farinhas, feculas e massas;99;Nao se aplica;65;37;0;42;1.1;1;0;340;0.08;0.4;0
6501416;Cruera;Farinhas, feculas e massas;99;Nao se aplica;65;37;0;42;1.1;1;0;340;0.08;0.4;0
6501502;Goma de mandioca;Farinhas, feculas e massas;99;Nao se aplica;4;0;0;0;0.16;1.5;0;0;0;0;0
6501505;Sagu de mandioca;Farinhas, feculas e massas;99;Nao se aplica;102.17;9.79;0.01;98.87;0.23;100.38;0;137.7;0.01;0.48;7.16
6501510;Farinha de tapioca;Farinhas, feculas e massas;99;Nao se aplica;12;3;0;60;0.1;2;0;48;0;0;0
6501511;Farinha beiju;Farinhas, feculas e massas;99;Nao se aplica;12;3;0;60;0.1;2;0;48;0;0;0
6501515;Sagu de tapioca;Farinhas, feculas e massas;99;Nao se aplica;102.17;9.79;0.01;98.87;0.23;100.38;0;137.7;0.01;0.48;7.16
6501516;Tapioca de goma;Farinhas, feculas e massas;99;Nao se aplica;4;0;0;0;0.16;1.5;0;0;0;0;0
6502001;Farinha lactea;Farinhas, feculas e massas;99;Nao se aplica;2.93;0;0;303.33;6;126.67;0;0;0;0;0
6502101;Neston;Farinhas, feculas e massas;99;Nao se aplica;508;0;0;550;12.5;550;0;0;0;0;0
6502102;Flocos de cereais;Farinhas, feculas e massas;99;Nao se aplica;143;11;0;101;3.1;655;0;83;0.06;7.6;0
6502105;Vitaflocos;Farinhas, feculas e massas;99;Nao se aplica;124.57;13.22;0.03;95.38;0.22;319.33;0;156.85;0.02;0.45;4.03
6502403;Mini pizza semipronta;Farinhas, feculas e massas;1;Cru(a);166.42;18.91;0.32;170.58;2.22;444.42;0;140.69;0.09;1.03;19.27
6502403;Mini pizza semipronta;Farinhas, feculas e massas;2;Cozido(a);166.42;18.91;0.32;170.58;2.22;444.42;0;140.69;0.09;1.03;19.27
6502403;Mini pizza semipronta;Farinhas, feculas e massas;4;Assado(a);166.42;18.91;0.32;170.58;2.22;444.42;0;140.69;0.09;1.03;19.27
6502403;Mini pizza semipronta;Farinhas, feculas e massas;5;Frito(a);166.42;18.91;0.32;170.58;2.22;444.42;0;140.69;0.09;1.03;19.27
6502403;Mini pizza semipronta;Farinhas, feculas e massas;99;Nao se aplica;166.42;18.91;0.32;170.58;2.22;444.42;0;140.69;0.09;1.03;19.27
6502501;Fibra de soja;Farinhas, feculas e massas;99;Nao se aplica;521;234;2;193;40;20;0;1420;1;5;0
6502603;Minipastel;Farinhas, feculas e massas;99;Nao se aplica;18.34;16.77;0.31;108.95;2.48;413.2;100;127.61;0.09;0.93;30.81
6503401;Macarrao ;Farinhas, feculas e massas;1;Cru(a);7;18;0.32;58;1.28;1;141;44;0.1;0.51;26.4
6503401;Macarrao ;Farinhas, feculas e massas;2;Cozido(a);7;18;0.32;58;1.28;1;141;44;0.1;0.51;26.4
6503401;Macarrao ;Farinhas, feculas e massas;3;Grelhado(a)/brasa/churrasco;7;18;0.32;58;1.28;1;141;44;0.1;0.51;26.4
6503401;Macarrao ;Farinhas, feculas e massas;4;Assado(a);7;18;0.32;58;1.28;1;141;44;0.1;0.51;26.4
