Codigo_do_alimento;Descricao_do_alimento;Tipo;Codigo_da_preparacao;Descricao_da_preparacao; Energia_(kcal) ;Proteina_(g); Lipidios_totais_(g) ; Carboidrato_(g) ; Fibra_alimentar_total_(g) 
7103501;Costela suina;Carnes e visceras;99;Nao se aplica;397,00;29,06;30,30;    ;    
7103701;Lombo suino;Carnes e visceras;2;Cozido(a);289,00;25,34;20,06;    ;    
7103701;Lombo suino;Carnes e visceras;3;Grelhado(a)/brasa/churrasco;289,00;25,34;20,06;    ;    
7103701;Lombo suino;Carnes e visceras;4;Assado(a);289,00;25,34;20,06;    ;    
7103701;Lombo suino;Carnes e visceras;5;Frito(a);338,57;25,34;25,67;    ;    
7103801;Toucinho;Carnes e visceras;99;Nao se aplica;541,00;37,04;41,78;1,43;    
7103903;Miudo suino;Carnes e visceras;2;Cozido(a);165,00;26,02;4,40;3,76;    
7103906;Arrasto suino;Carnes e visceras;99;Nao se aplica;100,04;13,98;2,96;4,18;0,62
7103907;Sarapatel suino fresco;Carnes e visceras;99;Nao se aplica;100,04;13,98;2,96;4,18;0,62
7104101;Carne suina;Carnes e visceras;1;Cru(a);289,00;25,34;20,06;    ;    
7104101;Carne suina;Carnes e visceras;2;Cozido(a);289,00;25,34;20,06;    ;    
7104101;Carne suina;Carnes e visceras;3;Grelhado(a)/brasa/churrasco;289,00;25,34;20,06;    ;    
7104101;Carne suina;Carnes e visceras;4;Assado(a);289,00;25,34;20,06;    ;    
7104101;Carne suina;Carnes e visceras;5;Frito(a);338,57;25,34;25,67;    ;    
7104101;Carne suina;Carnes e visceras;6;Empanado(a)/à milanesa;338,57;25,34;25,67;    ;    
7104101;Carne suina;Carnes e visceras;7;Refogado(a);338,57;25,34;25,67;    ;    
7104101;Carne suina;Carnes e visceras;8;Molho vermelho;236,00;20,54;16,08;1,08;0,30
7104101;Carne suina;Carnes e visceras;10;Ao alho e oleo;338,57;25,34;25,67;    ;    
7104101;Carne suina;Carnes e visceras;13;Ensopado;338,57;25,34;25,67;    ;    
7104101;Carne suina;Carnes e visceras;99;Nao se aplica;289,00;25,34;20,06;    ;    
7104301;Carne moida ;Carnes e visceras;1;Cru(a);214,00;26,62;11,10;    ;    
7104301;Carne moida;Carnes e visceras;2;Cozido(a);214,00;26,62;11,10;    ;    
7104301;Carne moida;Carnes e visceras;4;Assado(a);214,00;26,62;11,10;    ;    
7104301;Carne moida;Carnes e visceras;5;Frito(a);236,66;26,62;13,66;    ;    
7104301;Carne moida;Carnes e visceras;6;Empanado(a)/à milanesa;236,66;26,62;13,66;    ;    
7104301;Carne moida;Carnes e visceras;7;Refogado(a);236,66;26,62;13,66;    ;    
